text,label
"Sehr geehrtes Support-Team des Tech Online Stores,

ich interessiere mich für den Kauf eines MacBook Air M1 und hätte gerne detaillierte Spezifikationen sowie Informationen zu den verfügbaren Anpassungsoptionen. Könnten Sie mir bitte diese Informationen zur Verfügung stellen?

Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
<name>",Customer Service
Le client signale des déconnexions fréquentes et des plantages lors des réunions vidéo utilisant Zoom 5.11.0. Veuillez enquêter. Merci.,Product Support
"Problema con el sonido, manejando como devolución. Dentro de 30 días.",Returns and Exchanges
"Cher support client,

Notre client, <name>, a besoin d'aide pour configurer un tableau Scrum dans Jira Software 8.20 pour un nouveau projet. Avoir de l'assistance pour la configuration initiale et les meilleures pratiques serait grandement apprécié.

Merci pour votre soutien rapide.

Cordialement,
<name>
<name> Société de développement logiciel",Product Support
"Caro Suporte ao Cliente da Firma de Consultoria de TI, Nosso RH relata que nossa aplicação de folha de pagamento primária falhou durante o processamento. Precisamos urgentemente da sua assistência para restaurar sua operação. O serviço afetado é o Serviço de Consultoria de TI fornecido pela sua empresa. Por favor, entre em contato conosco o mais rápido possível. Para mais informações, entre em contato com <name> pelo <tel_num>.",Human Resources
"Caro Suporte ao Cliente da Tech Online Store,

Estou entrando em contato para relatar um problema com meu Dell XPS 13 9310. O trackpad fica sem resposta e frequentemente apresenta atrasos sempre que o laptop está desacoplado da fonte de energia. Agradeceria qualquer assistência ou orientação para resolver esse problema o mais rápido possível. Obrigado.

Atenciosamente,
<name>",Product Support
"Dear Tech Online Store Customer Support,

I am writing to report wireless connection issues with my recently purchased Canon PIXMA MG3620 printer within the return eligibility period. Despite multiple attempts at troubleshooting, the printer fails to connect to my home network reliably, making it difficult to use. I am seeking assistance in resolving this issue or, if necessary, initiating a return or exchange process for a functioning unit. Please advise on the next steps.

Thank you for your prompt attention to this matter.

Best regards,
<name>
<tel_num>",Returns and Exchanges
Customer reports frequent disconnections and crashes during video meetings using Zoom 5.11.0. Please investigate. Thank you.,Product Support
Mensagem de erro da transação para o Adobe Photoshop 2024,Billing and Payments
"Dear IT Services Customer Support, 

Our server, which affects our ticket system, experienced unexpected downtime today. This issue is crucial since it affects our IT Consulting Service operations. We urgently need technical support to resolve the problem and restore normal functionality.

Please prioritize this request and provide immediate assistance.

Thank you, 

<name>",Technical Support
